category,study,model,accuracy,precision,recall,f1,fpr,dataset,source,evidence_type
Banking/URL Phishing,Choudhary et al. (2023),Random Forest,98.80,99,99,99,,PhishTank,"Choudhary, T., Mhapankar, S., Bhddha, R., Kharuk, A., & Patil, R. (2023). J. Artif. Intell. Technol., 3(3), 108-113.",secondary
Banking/URL Phishing,Aldakheel et al. (2023),1D CNN,98.77,,,,,PhishTank crawl (10k phishing / 10k legitimate),"Aldakheel, E. A., Zakariah, M., Gashgari, G. A., Almarshad, F. A., & Alzahrani, A. I. A. (2023). Sensors, 23(9), 4403.",secondary
Spear Phishing,Dewan et al. (2014) - without social features,Ensemble ML (stylometric email features only),98.28,,,,,Symantec enterprise email scanning corpus,"Dewan, P., Kashyap, A., & Kumaraguru, P. (2014). eCrime 2014 / arXiv:1406.3692.",secondary
Spear Phishing,Dewan et al. (2014) - with social features,Ensemble ML (stylometric + LinkedIn social features),97.76,,,,,Symantec enterprise corpus + LinkedIn profile data,"Dewan, P., Kashyap, A., & Kumaraguru, P. (2014). eCrime 2014 / arXiv:1406.3692.",secondary
Spear Phishing,Ansary (2025),ML on network traffic features,90.45,,,,,Wireshark-captured network traffic,"Ansary, M. S. (2025). Int. J. Comput. Appl., 187(24).",secondary
Spear Phishing,Pan et al. (2025),BERT+ASPP+CNN hybrid,97.81,98,,,,Spear-phishing / digital-arrest e-commerce dataset,"Pan, V. S. et al. (2025). Int. J. Semantic Web Inf. Syst., 21(1).",secondary
Business Email Compromise,Lee et al. / CATBERT (2021),CATBERT (context-aware transformer),,,95.90,,1.0,Sophos threat-intelligence email corpus (BEC test subset),"Lee, Y., Saxe, J., & Harang, R. (2021). arXiv:2010.03484, Table 2 (TPR at FPR=1%).",secondary
Business Email Compromise,Cidon et al. / BEC-Guard (2019),Random Forest (header) + KNN (content),,98.2,,,0.000019,Barracuda enterprise email corpus,"Cidon, A., Gavish, L., Bleier, I., Korshun, N., Schweighauser, M., & Tsitkin, A. (2019). USENIX Security '19, 1291-1307.",secondary
Mass/Email Phishing,Lee et al. / CATBERT (2021),CATBERT (context-aware transformer),,,86.63,,1.0,Sophos threat-intelligence email corpus (all test samples: BEC+English+non-English),"Lee, Y., Saxe, J., & Harang, R. (2021). arXiv:2010.03484, Table 1 (TPR at FPR=1%).",secondary
Mass/Email Phishing,Alhuzali et al. (2025),BERT,98.99,,,,,Balanced merged corpus (Enron+SpamAssassin+Ling+TREC+CEAS+Nazario+Nigerian),"Alhuzali, A., Alloqmani, A., Aljabri, M., & Alharbi, F. (2025). Appl. Sci., 15(6), 3396.",secondary
Mass/Email Phishing,Alhuzali et al. (2025),RoBERTa,99.08,,,,,Balanced merged corpus (Enron+SpamAssassin+Ling+TREC+CEAS+Nazario+Nigerian),"Alhuzali, A., Alloqmani, A., Aljabri, M., & Alharbi, F. (2025). Appl. Sci., 15(6), 3396.",secondary
Mass/Email Phishing,An et al. (2025),Random Forest,97.37,,,,,Multilingual (English+Arabic) OSINT-enhanced email dataset,"An, P., Shafi, R., Mughogho, T., & Onyango, O. A. (2025). arXiv:2501.08723.",secondary
Banking/URL Phishing,Author's own verification testing (2026),TF-IDF + linear SVM (pirocheto),94.86,94.76,94.96,94.86,5.25,"pirocheto/phishing-url, test split (self-tested by author)","Author's own inference testing, 2026. Model: pirocheto/phishing-url-detection (Hugging Face).",primary
Banking/URL Phishing,Author's own verification testing (2026),"urlbert-tiny (BERT, CrabInHoney v4)",96.39,96.30,96.50,96.40,3.71,"pirocheto/phishing-url, test split (self-tested by author)","Author's own inference testing, 2026. Model: CrabInHoney/urlbert-tiny-v4-phishing-classifier, cited in Battling Phish (ACM SIGAPP 2025).",primary
Mass/Email Phishing,Author's own verification testing (2026),DistilBERT (cybersectony),98.03,97.14,99.01,98.06,2.97,"cybersectony/PhishingEmailDetectionv2.0, test split, email-only subset (self-tested by author)","Author's own inference testing, 2026. Model: cybersectony/phishing-email-detection-distilbert_v2.4.1 (Hugging Face).",primary
Mass/Email Phishing,Author's own verification testing (2026),BERT-large (ealvaradob),98.12,99.93,95.26,97.54,0.04,"zefang-liu/phishing-email-dataset, 20% held-out split (self-tested by author)","Author's own inference testing, 2026. Model: ealvaradob/bert-finetuned-phishing, cited in Battling Phish (ACM SIGAPP 2025).",primary
Banking/URL Phishing,Author's own shared-dataset cross-validation testing (2026),"urlbert-tiny (BERT, CrabInHoney v4)",66.54,62.79,80.17,70.43,46.93,"cybersectony/PhishingEmailDetectionv2.0, URL-only subset (self-tested by author, shared-dataset design)","Author's own inference testing, 2026. Model: CrabInHoney/urlbert-tiny-v4-phishing-classifier, previously tested on its own paired dataset (pirocheto/phishing-url); retested here against a different, unfamiliar dataset to test distribution shift.",primary
Banking/URL Phishing,Author's own shared-dataset cross-validation testing (2026),BERT-large (ealvaradob),75.69,70.88,86.73,78.01,35.21,"cybersectony/PhishingEmailDetectionv2.0, URL-only subset (self-tested by author, shared-dataset design)","Author's own inference testing, 2026. Model: ealvaradob/bert-finetuned-phishing, a general-purpose model trained on mixed content types, tested here on the URL portion of a dataset it was not specifically paired with.",primary
Mass/Email Phishing,Author's own shared-dataset cross-validation testing (2026),BERT-large (ealvaradob),97.56,99.88,95.28,97.52,0.12,"cybersectony/PhishingEmailDetectionv2.0, email-only subset (self-tested by author, shared-dataset design)","Author's own inference testing, 2026. Model: ealvaradob/bert-finetuned-phishing, tested here on the email portion of the same dataset file used for the paired URL test above, enabling a genuine single-model, single-dataset, cross-category comparison.",primary
